Date,Apt,Floor_plan,Beds/Baths,Rent,Deposit,Sq.Ft,Limited_Time_Offer,Available
20230403,modera,S01,Studio / 1 ba,"Starting from $1,739/month",$300,477+,/,"Up to 6 weeks for free plus $1000 credit!* Valid Through : Mar 17, 2023 - Apr 30, 2023 Up to 6 weeks for free plus $1000 credit! Contact us for more details! *Restrictions apply."
20230403,modera,S01L,Studio / 1 ba,"Starting from $2,402/month",$300,641+,/,"Up to 6 weeks for free plus $1000 credit!* Valid Through : Mar 17, 2023 - Apr 30, 2023 Up to 6 weeks for free plus $1000 credit! Contact us for more details! *Restrictions apply."
20230403,modera,S02,Studio / 1 ba,"Starting from $1,755/month",$300,498+,/,"Up to 6 weeks for free plus $1000 credit!* Valid Through : Mar 17, 2023 - Apr 30, 2023 Up to 6 weeks for free plus $1000 credit! Contact us for more details! *Restrictions apply."
20230403,modera,A03,1 bd/1 ba,"Starting from $1,971/month",$300,553+,/,"Up to 6 weeks for free plus $1000 credit!* Valid Through : Mar 17, 2023 - Apr 30, 2023 Up to 6 weeks for free plus $1000 credit! Contact us for more details! *Restrictions apply."
20230403,modera,A05,1 bd/1 ba,"Starting from $1,980/month",$300,596,/,"Up to 6 weeks for free plus $1000 credit!* Valid Through : Mar 17, 2023 - Apr 30, 2023 Up to 6 weeks for free plus $1000 credit! Contact us for more details! *Restrictions apply."
20230403,modera,A06,1 bd/1 ba,"Starting from $2,081/month",$300,606,/,"Up to 6 weeks for free plus $1000 credit!* Valid Through : Mar 17, 2023 - Apr 30, 2023 Up to 6 weeks for free plus $1000 credit! Contact us for more details! *Restrictions apply."
20230403,modera,A07,1 bd/1 ba,"Starting from $2,362/month",$300,634+,/,"Up to 6 weeks for free plus $1000 credit!* Valid Through : Mar 17, 2023 - Apr 30, 2023 Up to 6 weeks for free plus $1000 credit! Contact us for more details! *Restrictions apply."
20230403,modera,A09,1 bd/1 ba,"Starting from $2,038/month",$300,640,/,"Up to 6 weeks for free plus $1000 credit!* Valid Through : Mar 17, 2023 - Apr 30, 2023 Up to 6 weeks for free plus $1000 credit! Contact us for more details! *Restrictions apply."
20230403,modera,A10,1 bd/1 ba,"Starting from $2,412/month",$300,672+,/,"Up to 6 weeks for free plus $1000 credit!* Valid Through : Mar 17, 2023 - Apr 30, 2023 Up to 6 weeks for free plus $1000 credit! Contact us for more details! *Restrictions apply."
20230403,modera,A12,1 bd/1 ba,"Starting from $2,606/month",$300,751+,/,"Up to 6 weeks for free plus $1000 credit!* Valid Through : Mar 17, 2023 - Apr 30, 2023 Up to 6 weeks for free plus $1000 credit! Contact us for more details! *Restrictions apply."
20230403,modera,A16D,1 bd/1 ba,"Starting from $2,751/month",$300,882,/,"Up to 6 weeks for free plus $1000 credit!* Valid Through : Mar 17, 2023 - Apr 30, 2023 Up to 6 weeks for free plus $1000 credit! Contact us for more details! *Restrictions apply."
20230403,modera,B01,2 bd/2 ba,"Starting from $3,401/month",$300,961,/,"Up to 6 weeks for free plus $1000 credit!* Valid Through : Mar 17, 2023 - Apr 30, 2023 Up to 6 weeks for free plus $1000 credit! Contact us for more details! *Restrictions apply."
20230403,modera,B03,2 bd/2 ba,"Starting from $3,350/month",$300,"1,039+",/,"Up to 6 weeks for free plus $1000 credit!* Valid Through : Mar 17, 2023 - Apr 30, 2023 Up to 6 weeks for free plus $1000 credit! Contact us for more details! *Restrictions apply."
20230403,modera,B05,2 bd/2 ba,"Starting from $3,466/month",$300,"1,124+",/,"Up to 6 weeks for free plus $1000 credit!* Valid Through : Mar 17, 2023 - Apr 30, 2023 Up to 6 weeks for free plus $1000 credit! Contact us for more details! *Restrictions apply."
20230403,modera,S01L,Studio / 1 ba,"Starting from $2,402/month",$300,641+,/,"Up to 6 weeks for free plus $1000 credit!* Valid Through : Mar 17, 2023 - Apr 30, 2023 Up to 6 weeks for free plus $1000 credit! Contact us for more details! *Restrictions apply."
