Date,Apt,Floor_plan,Beds/Baths,Rent,Deposit,Sq.Ft,Limited_Time_Offer,Available
20230409,modera,S01,Studio / 1 ba,"Starting from $1,874/month",$300,477+,/,"Up to 6 weeks for free plus $1000 credit!* Valid Through : Mar 17, 2023 - Apr 30, 2023 Up to 6 weeks for free plus $1000 credit! Contact us for more details! *Restrictions apply."
20230409,modera,S01L,Studio / 1 ba,"Starting from $2,617/month",$300,641+,/,"Up to 6 weeks for free plus $1000 credit!* Valid Through : Mar 17, 2023 - Apr 30, 2023 Up to 6 weeks for free plus $1000 credit! Contact us for more details! *Restrictions apply."
20230409,modera,A03,1 bd/1 ba,"Starting from $1,906/month",$300,553+,/,"Up to 6 weeks for free plus $1000 credit!* Valid Through : Mar 17, 2023 - Apr 30, 2023 Up to 6 weeks for free plus $1000 credit! Contact us for more details! *Restrictions apply."
20230409,modera,A05,1 bd/1 ba,"$1,945/month",$300,596,/,"Up to 6 weeks for free plus $1000 credit!* Valid Through : Mar 17, 2023 - Apr 30, 2023 Up to 6 weeks for free plus $1000 credit! Contact us for more details! *Restrictions apply."
20230409,modera,A06,1 bd/1 ba,"Starting from $2,085/month",$300,606,/,"Up to 6 weeks for free plus $1000 credit!* Valid Through : Mar 17, 2023 - Apr 30, 2023 Up to 6 weeks for free plus $1000 credit! Contact us for more details! *Restrictions apply."
20230409,modera,A07,1 bd/1 ba,"Starting from $2,372/month",$300,634+,/,"Up to 6 weeks for free plus $1000 credit!* Valid Through : Mar 17, 2023 - Apr 30, 2023 Up to 6 weeks for free plus $1000 credit! Contact us for more details! *Restrictions apply."
20230409,modera,A09,1 bd/1 ba,"Starting from $2,420/month",$300,640,/,"Up to 6 weeks for free plus $1000 credit!* Valid Through : Mar 17, 2023 - Apr 30, 2023 Up to 6 weeks for free plus $1000 credit! Contact us for more details! *Restrictions apply."
20230409,modera,A10,1 bd/1 ba,"Starting from $2,422/month",$300,672+,/,"Up to 6 weeks for free plus $1000 credit!* Valid Through : Mar 17, 2023 - Apr 30, 2023 Up to 6 weeks for free plus $1000 credit! Contact us for more details! *Restrictions apply."
20230409,modera,A12,1 bd/1 ba,"Starting from $2,616/month",$300,751+,/,"Up to 6 weeks for free plus $1000 credit!* Valid Through : Mar 17, 2023 - Apr 30, 2023 Up to 6 weeks for free plus $1000 credit! Contact us for more details! *Restrictions apply."
20230409,modera,A16D,1 bd/1 ba,"Starting from $2,885/month",$300,882,/,"Up to 6 weeks for free plus $1000 credit!* Valid Through : Mar 17, 2023 - Apr 30, 2023 Up to 6 weeks for free plus $1000 credit! Contact us for more details! *Restrictions apply."
20230409,modera,B01,2 bd/2 ba,"Starting from $3,420/month",$300,961,/,"Up to 6 weeks for free plus $1000 credit!* Valid Through : Mar 17, 2023 - Apr 30, 2023 Up to 6 weeks for free plus $1000 credit! Contact us for more details! *Restrictions apply."
20230409,modera,B03,2 bd/2 ba,"Starting from $3,517/month",$300,"1,039+",/,"Up to 6 weeks for free plus $1000 credit!* Valid Through : Mar 17, 2023 - Apr 30, 2023 Up to 6 weeks for free plus $1000 credit! Contact us for more details! *Restrictions apply."
20230409,modera,B05,2 bd/2 ba,"Starting from $3,558/month",$300,"1,124+",/,"Up to 6 weeks for free plus $1000 credit!* Valid Through : Mar 17, 2023 - Apr 30, 2023 Up to 6 weeks for free plus $1000 credit! Contact us for more details! *Restrictions apply."
20230409,modera,S01L,Studio / 1 ba,"Starting from $2,617/month",$300,641+,/,"Up to 6 weeks for free plus $1000 credit!* Valid Through : Mar 17, 2023 - Apr 30, 2023 Up to 6 weeks for free plus $1000 credit! Contact us for more details! *Restrictions apply."
