Apt,Floor_plan,Beds/Baths,Rent,Deposit,Sq.Ft,Limited_Time_Offer,Available
modera,S01L,Studio / 1 ba,"Starting from $2,725/month",$300,641+,/,"Up to 6 weeks for free plus $1000 credit!* Valid Through : Mar 17, 2023 - Apr 30, 2023 Up to 6 weeks for free plus $1000 credit! Contact us for more details! *Restrictions apply."
modera,S02,Studio / 1 ba,"Starting from $1,978/month",$300,498+,/,"Up to 6 weeks for free plus $1000 credit!* Valid Through : Mar 17, 2023 - Apr 30, 2023 Up to 6 weeks for free plus $1000 credit! Contact us for more details! *Restrictions apply."
modera,A03,1 bd/1 ba,"Starting from $2,071/month",$300,553+,/,"Up to 6 weeks for free plus $1000 credit!* Valid Through : Mar 17, 2023 - Apr 30, 2023 Up to 6 weeks for free plus $1000 credit! Contact us for more details! *Restrictions apply."
modera,A05,1 bd/1 ba,"Starting from $2,025/month",$300,596,/,"Up to 6 weeks for free plus $1000 credit!* Valid Through : Mar 17, 2023 - Apr 30, 2023 Up to 6 weeks for free plus $1000 credit! Contact us for more details! *Restrictions apply."
modera,A05L,1 bd/1 ba,"Starting from $2,432/month",$300,735,/,"Up to 6 weeks for free plus $1000 credit!* Valid Through : Mar 17, 2023 - Apr 30, 2023 Up to 6 weeks for free plus $1000 credit! Contact us for more details! *Restrictions apply."
modera,A06,1 bd/1 ba,"Starting from $2,174/month",$300,606,/,"Up to 6 weeks for free plus $1000 credit!* Valid Through : Mar 17, 2023 - Apr 30, 2023 Up to 6 weeks for free plus $1000 credit! Contact us for more details! *Restrictions apply."
modera,A07,1 bd/1 ba,"Starting from $2,462/month",$300,634+,/,"Up to 6 weeks for free plus $1000 credit!* Valid Through : Mar 17, 2023 - Apr 30, 2023 Up to 6 weeks for free plus $1000 credit! Contact us for more details! *Restrictions apply."
modera,A09,1 bd/1 ba,"Starting from $2,167/month",$300,640,/,"Up to 6 weeks for free plus $1000 credit!* Valid Through : Mar 17, 2023 - Apr 30, 2023 Up to 6 weeks for free plus $1000 credit! Contact us for more details! *Restrictions apply."
modera,A10,1 bd/1 ba,"Starting from $2,383/month",$300,672+,/,"Up to 6 weeks for free plus $1000 credit!* Valid Through : Mar 17, 2023 - Apr 30, 2023 Up to 6 weeks for free plus $1000 credit! Contact us for more details! *Restrictions apply."
modera,A12,1 bd/1 ba,"Starting from $2,706/month",$300,751+,/,"Up to 6 weeks for free plus $1000 credit!* Valid Through : Mar 17, 2023 - Apr 30, 2023 Up to 6 weeks for free plus $1000 credit! Contact us for more details! *Restrictions apply."
modera,A14D,1 bd/1 ba,"Starting from $2,399/month",$300,777+,/,"Up to 6 weeks for free plus $1000 credit!* Valid Through : Mar 17, 2023 - Apr 30, 2023 Up to 6 weeks for free plus $1000 credit! Contact us for more details! *Restrictions apply."
modera,A16D,1 bd/1 ba,"Starting from $2,882/month",$300,882,/,"Up to 6 weeks for free plus $1000 credit!* Valid Through : Mar 17, 2023 - Apr 30, 2023 Up to 6 weeks for free plus $1000 credit! Contact us for more details! *Restrictions apply."
modera,B01,2 bd/2 ba,"Starting from $3,515/month",$300,961,/,"Up to 6 weeks for free plus $1000 credit!* Valid Through : Mar 17, 2023 - Apr 30, 2023 Up to 6 weeks for free plus $1000 credit! Contact us for more details! *Restrictions apply."
modera,B03,2 bd/2 ba,"Starting from $3,496/month",$300,"1,039+",/,"Up to 6 weeks for free plus $1000 credit!* Valid Through : Mar 17, 2023 - Apr 30, 2023 Up to 6 weeks for free plus $1000 credit! Contact us for more details! *Restrictions apply."
modera,B07D,2 bd/2 ba,"Starting from $3,603/month",$300,"1,233",/,"Up to 6 weeks for free plus $1000 credit!* Valid Through : Mar 17, 2023 - Apr 30, 2023 Up to 6 weeks for free plus $1000 credit! Contact us for more details! *Restrictions apply."
modera,S01L,Studio / 1 ba,"Starting from $2,725/month",$300,641+,/,"Up to 6 weeks for free plus $1000 credit!* Valid Through : Mar 17, 2023 - Apr 30, 2023 Up to 6 weeks for free plus $1000 credit! Contact us for more details! *Restrictions apply."
modera,A05L,1 bd/1 ba,"Starting from $2,432/month",$300,735,/,"Up to 6 weeks for free plus $1000 credit!* Valid Through : Mar 17, 2023 - Apr 30, 2023 Up to 6 weeks for free plus $1000 credit! Contact us for more details! *Restrictions apply."
